reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
11,pmid-30167089,"Rodon J, Curigliano G, Delord JP, et al.",30167089,PMC6114962,10.18632/oncotarget.25854,"A Phase Ib, open-label, dose-finding study of alpelisib in combination with paclitaxel in patients with advanced solid tumors.",Oncotarget,2018,Journal Article
12,pmid-36923283,"Tsang ES, Aggarwal RR, Dhawan MS, et al.",36923283,PMC10010328,10.1158/2767-9764.CRC-22-0028,A Phase IB Trial of the PI3K Inhibitor Alpelisib and Weekly Cisplatin in Patients with Solid Tumor Malignancies.,Cancer research communications,2022,"Clinical Trial, Phase I;Journal Article;Research Support, Non-U.S. Gov't"
13,pmid-39177931,"Borrego MR, Lu YS, Reyes-Cosmelli F, et al.",39177931,PMC11452482,10.1007/s10549-024-07405-8,SGLT2 inhibition improves PI3Kα inhibitor-induced hyperglycemia: findings from preclinical animal models and from patients in the BYLieve and SOLAR-1 trials.,Breast cancer research and treatment,2024,"Clinical Trial, Phase II;Clinical Trial, Phase III;Journal Article;Multicenter Study;Randomized Controlled Trial"
14,pmid-39637900,"Rugo HS, Lerebours F, Ciruelos E, et al.",39637900,,10.1016/S1470-2045(24)00673-9,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",The Lancet. Oncology,2024,"Journal Article;Multicenter Study;Clinical Trial, Phase II;Research Support, Non-U.S. Gov't"
15,pmid-33909934,"Turner S, Chia S, Kanakamedala H, et al.",33909934,PMC8265362,10.1002/onco.13804,"Effectiveness of Alpelisib + Fulvestrant Compared with Real-World Standard Treatment Among Patients with HR+, HER2-, PIK3CA-Mutated Breast Cancer.",The oncologist,2021,"Clinical Trial, Phase II;Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
16,pmid-32864625,"Razavi P, Dickler MN, Shah PD, et al.",32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,Nature cancer,2020,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
17,pmid-37916958,"Varkaris A, Fece de la Cruz F, Martin EE, et al.",37916958,PMC10850944,10.1158/2159-8290.CD-23-0704,Allosteric PI3Kα Inhibition Overcomes On-target Resistance to Orthosteric Inhibitors Mediated by Secondary PIK3CA Mutations.,Cancer discovery,2024,"Journal Article;Research Support, U.S. Gov't, Non-P.H.S.;Research Support, N.I.H., Extramural"
18,pmid-37623743,"Buckbinder L, St Jean DJ, Tieu T, et al.",37623743,PMC10618743,10.1158/2159-8290.CD-23-0396,"STX-478, a Mutant-Selective, Allosteric PI3Kα Inhibitor Spares Metabolic Dysfunction and Improves Therapeutic Response in PI3Kα-Mutant Xenografts.",Cancer discovery,2023,"Journal Article;Research Support, Non-U.S. Gov't"
19,pmid-40845250,"Wedam S, Narayan P, Gittleman H, et al.",40845250,,10.1200/JCO-25-00663,"US Food and Drug Administration Approval Summary: Inavolisib With Palbociclib and Fulvestrant for Endocrine-Resistant, PIK3CA-Mutated, Hormone Receptor-Positive, Human Epidermal Growth Factor Receptor 2-Negative, Locally Advanced or Metastatic Breast Cancer.",Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2025,"Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't"
20,pmid-40454641,"Jhaveri KL, Im SA, Saura C, et al.",40454641,PMC13496148,10.1056/NEJMoa2501796,Overall Survival with Inavolisib in PIK3CA-Mutated Advanced Breast Cancer.,The New England journal of medicine,2025,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase III;Multicenter Study"
21,pmid-37493631,"Stanland LJ, Ang HX, Hoj JP, et al.",37493631,PMC10811747,10.1158/1541-7786.MCR-23-0034,CBF-Beta Mitigates PI3K-Alpha-Specific Inhibitor Killing through PIM1 in PIK3CA-Mutant Gastric Cancer.,Molecular cancer research : MCR,2023,"Journal Article;Research Support, Non-U.S. Gov't;Research Support, N.I.H., Extramural"
22,pmid-21278786,"Serra V, Scaltriti M, Prudkin L, et al.",21278786,PMC3107390,10.1038/onc.2010.626,PI3K inhibition results in enhanced HER signaling and acquired ERK dependency in HER2-overexpressing breast cancer.,Oncogene,2011,"Journal Article;Research Support, Non-U.S. Gov't"
23,pmid-27048245,"Leroy C, Ramos P, Cornille K, et al.",27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,Breast cancer research : BCR,2016,"Journal Article;Research Support, Non-U.S. Gov't"
24,pmid-40360883,"Tyrakis PA, Kampjut D, Steele GF, et al.",40360883,PMC12304390,10.1038/s41416-025-03035-z,"Multi-node inhibition targeting mTORC1, mTORC2 and PI3Kα potently inhibits the PI3K/AKT/mTOR pathway in endometrial and breast cancer models.",British journal of cancer,2025,Journal Article
25,pmid-25409150,"Juric D, Castel P, Griffith M, et al.",25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,Nature,2014,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
26,pmid-40295072,"Kang M, Kim KJ, Sung JH, et al.",40295072,,10.21873/anticanres.17567,Development of Acquired Resistance in Alpelisib-treated Gastric Cancer Cells With PIK3CA Mutations and Overcoming Strategies.,Anticancer research,2025,Journal Article
27,pmid-40382983,"Pulito C, Vaccarella S, Palcau AC, et al.",40382983,,10.1016/j.drup.2025.101251,MicroRNA-mediated PTEN downregulation as a novel non-genetic mechanism of acquired resistance to PI3Kα inhibitors of head & neck squamous cell carcinoma.,Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,2025,Journal Article
28,pmid-40991650,"Kumari N, Wright SC, Witham CM, et al.",40991650,PMC12618074,10.1172/JCI180927,USP10/GSK3β-mediated inhibition of PTEN drives resistance to PI3K inhibitors in breast cancer.,The Journal of clinical investigation,2025,"Journal Article;Research Support, Non-U.S. Gov't"
29,pmid-25053989,"Edgar KA, Crocker L, Cheng E, et al.",25053989,PMC4091530,10.18632/genesandcancer.10,Amphiregulin and PTEN evoke a multimodal mechanism of acquired resistance to PI3K inhibition.,Genes & cancer,2014,Journal Article
30,pmid-33685991,"Cai Y, Xu G, Wu F, et al.",33685991,PMC8137641,10.1158/0008-5472.CAN-20-3232,Genomic Alterations in PIK3CA-Mutated Breast Cancer Result in mTORC1 Activation and Limit the Sensitivity to PI3Kα Inhibitors.,Cancer research,2021,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
31,pmid-33606974,"Mukherjee R, Vanaja KG, Boyer JA, et al.",33606974,PMC8384339,10.1016/j.molcel.2021.01.033,Regulation of PTEN translation by PI3K signaling maintains pathway homeostasis.,Molecular cell,2021,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
32,pmid-33024087,"Yang C, Sheng Y, Shi X, et al.",33024087,PMC7538592,10.1038/s41419-020-03037-0,CD44/HA signaling mediates acquired resistance to a PI3Kα inhibitor.,Cell death & disease,2020,"Journal Article;Research Support, Non-U.S. Gov't"
33,pmid-37044095,"Auf der Maur P, Trefny MP, Baumann Z, et al.",37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,Cell reports. Medicine,2023,"Journal Article;Research Support, Non-U.S. Gov't"
34,pmid-26640141,"Cheng H, Liu P, Ohlson C, et al.",26640141,PMC4896860,10.1038/onc.2015.377,PIK3CA(H1047R)- and Her2-initiated mammary tumors escape PI3K dependency by compensatory activation of MEK-ERK signaling.,Oncogene,2015,Journal Article
35,pmid-24351425,"Toulany M, Minjgee M, Saki M, et al.",24351425,PMC3974833,10.4161/cbt.27311,ERK2-dependent reactivation of Akt mediates the limited response of tumor cells with constitutive K-RAS activity to PI3K inhibition.,Cancer biology & therapy,2013,"Journal Article;Research Support, Non-U.S. Gov't"
36,pmid-28382169,"Xu YC, Wang X, Chen Y, et al.",28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,Theranostics,2017,Journal Article
37,pmid-35365185,"Heynen GJJE, Lisek K, Vogel R, et al.",35365185,PMC8974145,10.1186/s13058-022-01521-3,Targeting SHP2 phosphatase in breast cancer overcomes RTK-mediated resistance to PI3K inhibitors.,Breast cancer research : BCR,2022,"Journal Article;Research Support, Non-U.S. Gov't"
38,pmid-26500061,"Wang Q, Liu P, Spangle JM, et al.",26500061,PMC4846581,10.1038/onc.2015.406,"PI3K-p110α mediates resistance to HER2-targeted therapy in HER2+, PTEN-deficient breast cancers.",Oncogene,2015,Journal Article
39,pmid-35968355,"Chung WP, Huang WL, Lee CH, et al.",35968355,PMC9360227,,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,American journal of cancer research,2022,Journal Article
40,pmid-33947692,"Jhaveri K, Drago JZ, Shah PD, et al.",33947692,PMC8282678,10.1158/1078-0432.CCR-21-0047,A Phase I Study of Alpelisib in Combination with Trastuzumab and LJM716 in Patients with PIK3CA-Mutated HER2-Positive Metastatic Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2021,"Clinical Trial, Phase I;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
41,pmid-25873175,"Elkabets M, Pazarentzos E, Juric D, et al.",25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,Cancer cell,2015,Journal Article
42,pmid-30237504,"Zorea J, Prasad M, Cohen L, et al.",30237504,PMC6148236,10.1038/s41419-018-1025-8,IGF1R upregulation confers resistance to isoform-specific inhibitors of PI3K in PIK3CA-driven ovarian cancer.,Cell death & disease,2018,"Journal Article;Research Support, Non-U.S. Gov't"
43,pmid-32976773,"Ros S, Wright AJ, D'Santos P, et al.",32976773,PMC7562820,10.1016/j.ccell.2020.08.016,Metabolic Imaging Detects Resistance to PI3Kα Inhibition Mediated by Persistent FOXM1 Expression in ER+ Breast Cancer.,Cancer cell,2020,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't;Research Support, U.S. Gov't, Non-P.H.S."
44,pmid-36892268,"Chen JW, Jacot W, Cortés J, et al.",36892268,PMC10552898,10.1002/1878-0261.13416,"ER+, HER2- advanced breast cancer treated with taselisib and fulvestrant: genomic landscape and associated clinical outcomes.",Molecular oncology,2023,"Journal Article;Research Support, Non-U.S. Gov't"
45,pmid-38273040,"Yip HYK, Shin SY, Chee A, et al.",38273040,PMC10810864,10.1038/s41698-024-00496-y,Integrative modeling uncovers p21-driven drug resistance and prioritizes therapies for PIK3CA-mutant breast cancer.,NPJ precision oncology,2024,Journal Article
46,pmid-27604488,"Le X, Antony R, Razavi P, et al.",27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,Cancer discovery,2016,Journal Article
47,pmid-39920872,"Liu YY, Huang WL, Wang ST, et al.",39920872,PMC11806886,10.1186/s40170-025-00375-5,CD36 inhibition enhances the anti-proliferative effects of PI3K inhibitors in PTEN-loss anti-HER2 resistant breast cancer cells.,Cancer & metabolism,2025,Journal Article
48,pmid-37163178,"Percik R, Oedegaard Smith C, Leibovici A, Shai A",37163178,PMC10164376,10.2147/BTT.S395817,Treating Alpelisib-Induced Hyperinsulinemia in Patients with Advanced Breast Cancer - A Real-Life Experience.,Biologics : targets & therapy,2023,Case Reports;Journal Article
49,pmid-31601188,"Kim JH, Kim WS, Park C",31601188,PMC6785854,10.1186/s12885-019-6057-7,Interleukin-6 mediates resistance to PI3K-pathway-targeted therapy in lymphoma.,BMC cancer,2019,Journal Article
50,pmid-38286037,"Korovina I, Elser M, Borodins O, Seifert M, Willers H, Cordes N",38286037,PMC11627550,10.1016/j.biopha.2024.116217,β1 integrin mediates unresponsiveness to PI3Kα inhibition for radiochemosensitization of 3D HNSCC models.,Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie,2024,Journal Article
51,pmid-24405121,"Azab F, Vali S, Abraham J, et al.",24405121,,10.1111/bjh.12734,"PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance.",British journal of haematology,2014,Journal Article
52,pmid-33794206,"Rugo HS, Lerebours F, Ciruelos E, et al.",33794206,,10.1016/S1470-2045(21)00034-6,"Alpelisib plus fulvestrant in PIK3CA-mutated, hormone receptor-positive advanced breast cancer after a CDK4/6 inhibitor (BYLieve): one cohort of a phase 2, multicentre, open-label, non-comparative study.",The Lancet. Oncology,2021,"Clinical Trial, Phase II;Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
53,pmid-33186740,"Dent S, Cortés J, Im YH, et al.",33186740,PMC8457522,10.1016/j.annonc.2020.10.596,"Phase III randomized study of taselisib or placebo with fulvestrant in estrogen receptor-positive, PIK3CA-mutant, HER2-negative, advanced breast cancer: the SANDPIPER trial.",Annals of oncology : official journal of the European Society for Medical Oncology,2020,"Clinical Trial, Phase III;Journal Article;Randomized Controlled Trial;Research Support, Non-U.S. Gov't"
54,pmid-31439579,"Baird RD, van Rossum AGJ, Oliveira M, et al.",31439579,,10.1158/1078-0432.CCR-19-0508,"POSEIDON Trial Phase 1b Results: Safety, Efficacy and Circulating Tumor DNA Response of the Beta Isoform-Sparing PI3K Inhibitor Taselisib (GDC-0032) Combined with Tamoxifen in Hormone Receptor Positive Metastatic Breast Cancer Patients.",Clinical cancer research : an official journal of the American Association for Cancer Research,2019,"Clinical Trial, Phase I;Journal Article;Multicenter Study;Research Support, Non-U.S. Gov't"
55,pmid-38986734,"Zhang H, Zhang L, He Y, et al.",38986734,,10.1016/j.canlet.2024.217112,PI3K PROTAC overcomes the lapatinib resistance in PIK3CA-mutant HER2 positive breast cancer.,Cancer letters,2024,Journal Article
56,pmid-32887722,"Tolaney SM, Im YH, Calvo E, et al.",32887722,,10.1158/1078-0432.CCR-20-0645,Phase Ib Study of Ribociclib plus Fulvestrant and Ribociclib plus Fulvestrant plus PI3K Inhibitor (Alpelisib or Buparlisib) for HR+ Advanced Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2020,"Journal Article;Research Support, Non-U.S. Gov't"
57,pmid-42202490,"Im SA, Kalinsky K, Jhaveri KL, et al.",42202490,PMC13235453,10.1016/j.esmoop.2026.107735,"Safety analyses of the INAVO120 randomised phase III trial of inavolisib or placebo with palbociclib-fulvestrant in patients with PIK3CA-mutated, hormone receptor-positive, HER2-negative, endocrine-resistant advanced breast cancer.",ESMO open,2026,"Journal Article;Randomized Controlled Trial;Clinical Trial, Phase III"
58,pmid-25528022,"Elster N, Cremona M, Morgan C, et al.",25528022,,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,Breast cancer research and treatment,2014,"Journal Article;Research Support, Non-U.S. Gov't"
59,pmid-35100734,"Hyman DM, Tran B, Paz-Ares L, et al.",35100734,,10.1200/PO.19.00221,"Combined PIK3CA and FGFR Inhibition With Alpelisib and Infigratinib in Patients With PIK3CA-Mutant Solid Tumors, With or Without FGFR Alterations.",JCO precision oncology,2019,Journal Article
60,pmid-33602685,"Sharma P, Abramson VG, O'Dea A, et al.",33602685,PMC8282704,10.1158/1078-0432.CCR-20-4879,Clinical and Biomarker Results from Phase I/II Study of PI3K Inhibitor Alpelisib plus Nab-paclitaxel in HER2-Negative Metastatic Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2021,"Clinical Trial, Phase I;Clinical Trial, Phase II;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
61,pmid-32494066,"Saito Y, Koya J, Araki M, et al.",32494066,,10.1038/s41586-020-2175-2,Landscape and function of multiple mutations within individual oncogenes.,Nature,2020,"Journal Article;Research Support, Non-U.S. Gov't"
62,pmid-35771551,"Savas P, Lo LL, Luen SJ, et al.",35771551,,10.1158/2159-8290.CD-21-1696,"Alpelisib Monotherapy for PI3K-Altered, Pretreated Advanced Breast Cancer: A Phase II Study.",Cancer discovery,2022,"Clinical Trial, Phase II;Journal Article;Research Support, Non-U.S. Gov't"
