reference_number,paper_id,authors,PMID,PMCID,DOI,title,journal,publication_year,publication_types
33,pmid-33024087,"Yang C, Sheng Y, Shi X, et al.",33024087,PMC7538592,10.1038/s41419-020-03037-0,CD44/HA signaling mediates acquired resistance to a PI3Kα inhibitor.,Cell death & disease,2020,"Journal Article;Research Support, Non-U.S. Gov't"
34,pmid-40113784,"Gremke N, Besong I, Stroh A, et al.",40113784,PMC11926384,10.1038/s41392-025-02180-4,Targeting PI3K inhibitor resistance in breast cancer with metabolic drugs.,Signal transduction and targeted therapy,2025,"Journal Article;Research Support, Non-U.S. Gov't"
35,pmid-28382169,"Xu YC, Wang X, Chen Y, et al.",28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,Theranostics,2017,Journal Article
36,pmid-33059733,"Ruicci KM, Meens J, Plantinga P, et al.",33059733,PMC7559997,10.1186/s13046-020-01713-9,TAM family receptors in conjunction with MAPK signalling are involved in acquired resistance to PI3Kα inhibition in head and neck squamous cell carcinoma.,Journal of experimental & clinical cancer research : CR,2020,Journal Article
37,pmid-40510030,"Shi Y, Chen L, Cheng Q, Niu P, Weng Y, Yang X",40510030,PMC12159599,10.20517/cdr.2024.181,FGFR1 overexpression promotes resistance to PI3K inhibitor alpelisib in luminal breast cancer cells through receptor tyrosine kinase signaling-mediated activation of the estrogen receptor.,"Cancer drug resistance (Alhambra, Calif.)",2025,Journal Article
38,pmid-33947692,"Jhaveri K, Drago JZ, Shah PD, et al.",33947692,PMC8282678,10.1158/1078-0432.CCR-21-0047,A Phase I Study of Alpelisib in Combination with Trastuzumab and LJM716 in Patients with PIK3CA-Mutated HER2-Positive Metastatic Breast Cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2021,"Clinical Trial, Phase I;Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
39,pmid-24249715,"Brady SW, Zhang J, Seok D, Wang H, Yu D",24249715,PMC3902650,10.1158/1535-7163.MCT-13-0518,Enhanced PI3K p110α signaling confers acquired lapatinib resistance that can be effectively reversed by a p110α-selective PI3K inhibitor.,Molecular cancer therapeutics,2013,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't"
40,pmid-32782489,"du Rusquec P, Blonz C, Frenel JS, Campone M",32782489,PMC7388095,10.1177/1758835920940939,Targeting the PI3K/Akt/mTOR pathway in estrogen-receptor positive HER2 negative advanced breast cancer.,Therapeutic advances in medical oncology,2020,Journal Article;Review
41,pmid-32817061,De Mattos-Arruda L,32817061,PMC7437706,10.1136/esmoopen-2020-000890,PIK3CA mutation inhibition in hormone receptor-positive breast cancer: time has come.,ESMO open,2020,"Editorial;Research Support, Non-U.S. Gov't"
42,pmid-35348782,Jacobson A,35348782,PMC8963159,10.1093/oncolo/oyac011,Alpelisib Plus Fulvestrant or Letrozole Demonstrates Sustained Benefits Across Subgroups of Patients with PIK3CA-Mutated HR+/HER2- Advanced Breast Cancer.,The oncologist,2022,Journal Article
43,pmid-41620612,"Shen S, Teysir J, Safonov A, et al.",41620612,PMC12964663,10.1186/s13058-025-02152-0,Sequential use of PI3K/AKT/mTOR pathway inhibitors alpelisib and everolimus in patients with hormone receptor-positive metastatic breast cancer.,Breast cancer research : BCR,2026,Journal Article;Observational Study
44,pmid-41079023,"Buonaiuto R, Fordellone M, Caltavituro A, et al.",41079023,PMC12514518,10.1016/j.eclinm.2025.103535,Efficacy and safety of systemic therapies following progression on CDK4/6 inhibitors in patients with HR+/HER2- metastatic breast cancer: a systematic review and network meta-analysis.,EClinicalMedicine,2025,Journal Article
