subsection_id,paper_rank,paper_id,pmid,pmcid,doi,title,source_format,hybrid_score,lexical_score,semantic_score,evidence_role_hint,selected_for_packet,selection_reason,top_chunk_uids
SUB001,29,pmid-39935426,39935426,PMC11810462,10.20517/cdr.2024.169,Optimizing therapeutic approaches for HR+/HER2- advanced breast cancer: clinical perspectives on biomarkers and treatment strategies post-CDK4/6 inhibitor progression.,pmc_xml,0.031696,372.141093,0.000000,global_primary_retrieved,0,not_selected,pmid-39935426:CH0019;pmid-39935426:CH0020;pmid-39935426:CH0022
SUB001,30,pmid-42445743,42445743,PMC13361340,10.2147/DDDT.S611371,Precision Endocrine-Based Combinations After CDK4/6 Inhibitor Progression in HR-Positive Metastatic Breast Cancer.,pmc_xml,0.029632,113.940826,1.604715,global_primary_retrieved,0,not_selected,pmid-42445743:CH0037;pmid-42445743:CH0038;pmid-42445743:CH0019
SUB001,31,pmid-35075945,35075945,PMC8793384,10.1177/15347354211073163,Management of Phosphatidylinositol-3-Kinase Inhibitor-Associated Hyperglycemia.,pmc_xml,0.029631,137.624978,0.825780,context_for_subsection,0,not_selected,pmid-35075945:CH0005
SUB001,32,pmid-39596311,39596311,PMC11594956,10.3390/ijms252212246,Molecular Analysis of PIK3CA in Metastatic Hormone Receptor-Positive Breast Cancer in Chile: Clinical and Pathological Insights.,pmc_xml,0.028929,0.000000,0.788925,primary_for_subsection,1,stage4_primary_force_included,pmid-39596311:CH0005
SUB001,33,pmid-33909934,33909934,PMC8265362,10.1002/onco.13804,"Effectiveness of Alpelisib + Fulvestrant Compared with Real-World Standard Treatment Among Patients with HR+, HER2-, PIK3CA-Mutated Breast Cancer.",pmc_xml,0.028264,0.000000,0.783439,primary_for_subsection,1,stage4_primary_force_included,pmid-33909934:CH0006
SUB001,34,pmid-35181669,35181669,PMC8857304,10.1038/s41523-022-00382-5,PIK3CA co-occurring mutations and copy-number gain in hormone receptor positive and HER2 negative breast cancer.,pmc_xml,0.027874,0.000000,0.780646,primary_for_subsection,1,stage4_primary_force_included,pmid-35181669:CH0030
SUB001,35,pmid-37044095,37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,pmc_xml,0.027520,233.392953,0.794458,context_for_subsection,0,not_selected,pmid-37044095:CH0006;pmid-37044095:CH0005
SUB001,36,pmid-37743730,37743730,PMC10863751,10.1002/cncr.34928,"Incidence, risk factors, and management of alpelisib-associated hyperglycemia in metastatic breast cancer.",pmc_xml,0.025403,234.831384,0.778379,context_for_subsection,0,not_selected,pmid-37743730:CH0006;pmid-37743730:CH0043
SUB001,37,pmid-35968355,35968355,PMC9360227,,PI3K inhibitors in trastuzumab-resistant HER2-positive breast cancer cells with PI3K pathway alterations.,pdf,0.021952,134.222341,0.776769,context_for_subsection,0,not_selected,pmid-35968355:CH0025
SUB001,38,pmid-33947692,33947692,PMC8282678,10.1158/1078-0432.CCR-21-0047,A Phase I Study of Alpelisib in Combination with Trastuzumab and LJM716 in Patients with PIK3CA-Mutated HER2-Positive Metastatic Breast Cancer.,pmc_xml,0.021337,241.224470,0.000000,context_for_subsection,0,not_selected,pmid-33947692:CH0023;pmid-33947692:CH0004
SUB001,39,pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,pmc_xml,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-25409150:CH0001;pmid-25409150:CH0002;pmid-25409150:CH0003
SUB001,40,pmid-25877889,25877889,PMC4433148,10.1126/scitranslmed.aaa4442,PI3K inhibition results in enhanced estrogen receptor function and dependence in hormone receptor-positive breast cancer.,pmc_xml,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-25877889:CH0001;pmid-25877889:CH0002;pmid-25877889:CH0003
SUB001,41,pmid-27126994,27126994,PMC5085926,10.1158/1078-0432.CCR-16-0134,"A Phase Ib Study of Alpelisib (BYL719), a PI3Kα-Specific Inhibitor, with Letrozole in ER+/HER2- Metastatic Breast Cancer.",pmc_xml,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-27126994:CH0001;pmid-27126994:CH0002;pmid-27126994:CH0003
SUB001,42,pmid-36611120,36611120,,10.1038/s41388-022-02585-3,Alpelisib and fulvestrant in PIK3CA-mutated hormone receptor-positive HER2-negative advanced breast cancer included in the French early access program.,pdf,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-36611120:CH0001;pmid-36611120:CH0002;pmid-36611120:CH0003
SUB001,43,pmid-38473737,38473737,PMC10931361,10.3390/ijms25052490,Real-World Data and Clinical Implications of Next-Generation Sequencing (NGS)-Based Analysis in Metastatic Breast Cancer Patients.,pmc_xml,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-38473737:CH0001;pmid-38473737:CH0002;pmid-38473737:CH0003
SUB001,44,pmid-39839709,39839709,PMC11748133,10.1093/pcmedi/pbae034,"Cell-free tumor DNA analysis in advanced or metastatic breast cancer patients: mutation frequencies, testing intention, and clinical impact.",pmc_xml,0.020000,0.000000,0.000000,primary_for_subsection,1,stage4_primary_recall_added_no_query_hit,pmid-39839709:CH0001;pmid-39839709:CH0002;pmid-39839709:CH0003
SUB001,45,pmid-42074235,42074235,PMC13116710,10.3390/ijms27083597,SGLT2 Inhibitor Dapagliflozin Attenuates Cardiomyocyte Injury and Inflammation Induced by PI3Kα-Selective Inhibitor Alpelisib and Fulvestrant Under Hyperglycemia.,pmc_xml,0.019961,115.374370,0.809107,global_primary_retrieved,0,not_selected,pmid-42074235:CH0001;pmid-42074235:CH0007
SUB001,46,pmid-39539943,39539943,PMC11558728,10.1177/17588359241297101,Elacestrant plus alpelisib in an ESR1 and PIK3CA co-mutated and heavily pretreated metastatic breast cancer: the first case report for combination efficacy and safety.,pmc_xml,0.019714,240.256850,0.000000,context_for_subsection,0,not_selected,pmid-39539943:CH0039;pmid-39539943:CH0006
SUB001,47,pmid-40113784,40113784,PMC11926384,10.1038/s41392-025-02180-4,Targeting PI3K inhibitor resistance in breast cancer with metabolic drugs.,pmc_xml,0.018768,0.000000,1.580462,context_for_subsection,0,not_selected,pmid-40113784:CH0004;pmid-40113784:CH0001
SUB001,48,pmid-42351448,42351448,PMC13298351,10.3390/diagnostics16121790,"Post-CDK4/6 Inhibitor Therapeutic Approaches in Hormone Receptor-Positive, HER2-Negative Metastatic Breast Cancer: Current Evidence and Emerging Strategies-A Narrative Review.",pmc_xml,0.018396,235.277845,0.000000,global_primary_retrieved,0,not_selected,pmid-42351448:CH0002;pmid-42351448:CH0005
SUB001,49,pmid-39070139,39070139,PMC11272611,10.3389/fonc.2024.1390452,"Phase Ib and pharmacokinetics study of alpelisib, a PIK3CA inhibitor, and capecitabine in patients with advanced solid tumors.",pmc_xml,0.017496,119.211992,0.779355,context_for_subsection,0,not_selected,pmid-39070139:CH0036;pmid-39070139:CH0004
SUB001,50,pmid-38638399,38638399,PMC11024566,10.1016/j.eclinm.2024.102520,"Preventing alpelisib-related hyperglycaemia in HR+/HER2-/PIK3CA-mutated advanced breast cancer using metformin (METALLICA): a multicentre, open-label, single-arm, phase 2 trial.",pmc_xml,0.016786,231.889581,0.000000,context_for_subsection,0,not_selected,pmid-38638399:CH0012;pmid-38638399:CH0005
SUB001,51,pmid-39217059,39217059,PMC11840667,10.1016/j.clbc.2024.08.001,A Phase I Trial of Alpelisib Combined With Capecitabine in Patients With HER2-Negative Metastatic Breast Cancer.,pmc_xml,0.014085,0.000000,0.822544,context_for_subsection,0,not_selected,pmid-39217059:CH0007
SUB001,52,pmid-33976551,33976551,PMC8104980,10.2147/OTT.S298720,"Advances in Therapy for Hormone Receptor (HR)-Positive, Human Epidermal Growth Factor Receptor 2 (HER2)-Negative Advanced Breast Cancer Patients Who Have Experienced Progression After Treatment with CDK4/6 Inhibitors.",pmc_xml,0.013699,0.000000,0.819899,global_primary_retrieved,0,not_selected,pmid-33976551:CH0007
SUB001,53,pmid-35712858,35712858,PMC9210085,10.1177/23247096221105249,S.U.G.A.R: A Case to Outline Tactics for the Prevention of Alpelisib-Induced Hyperglycemia.,pmc_xml,0.011905,124.895939,0.000000,context_for_subsection,0,not_selected,pmid-35712858:CH0004
